trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
T_L1_N,06:00:00,06:00:00,10_HLW_METRO_N,1,,,,
T_L1_N,06:02:56,06:03:17,10_AHL_METRO_N,2,,,,
T_L1_N,06:04:46,06:05:07,10_UHL_METRO_N,3,,,,
T_L1_N,06:06:47,06:07:02,14_HOF_METRO_N,4,,,,
T_L1_N,06:09:16,06:09:37,14_HHL_METRO_N,5,,,,
T_L1_N,06:11:23,06:11:55,7_MAA_METRO_N,6,,,,
T_L1_N,06:14:48,06:15:06,27_TAS_METRO_N,7,,,,
T_L1_N,06:16:50,06:17:08,26_KZK_METRO_N,8,,,,
T_L1_N,06:19:11,06:19:42,28_TBA_METRO_N,9,,,,
T_L1_N,06:21:26,06:21:48,23_SMA_METRO_N,10,,,,
T_L1_N,06:23:13,06:23:38,23_MAD_METRO_N,11,,,,
T_L1_N,06:25:32,06:26:11,246_HMA_METRO_N,12,,,,
T_L1_N,06:28:16,06:28:43,246_DAR_METRO_N,13,,,,
T_L1_N,06:30:54,06:31:40,31_ZAH_Metro_N,14,,,,
T_L1_N,06:33:24,06:33:48,34_MGR_METRO_N,15,,,,
T_L1_N,06:35:30,06:36:02,32_MSH_Metro_N,16,,,,
T_L1_N,06:37:59,06:38:29,47_ZEI_Metro_N,17,,,,
T_L1_N,06:40:11,06:40:58,52_SZA_Metro_N,18,,,,
T_L1_N,06:42:49,06:43:33,86_SAD_METRO_N,19,,,,
T_L1_N,06:45:32,06:46:03,87_NAS_METRO_N,20,,,,
T_L1_N,06:47:21,06:47:51,98_ORA_METRO_N,21,,,,
T_L1_N,06:49:10,06:50:12,100_SHO_METRO_N,22,,,,
T_L1_N,06:52:16,06:52:53,137_GHM_METRO_N,23,,,,
T_L1_N,06:54:59,06:55:28,159_DMD_METRO_N,24,,,,
T_L1_N,06:57:17,06:58:12,160_MSD_METRO_N,25,,,,
T_L1_N,06:59:30,06:59:58,180_KQO_METRO_N,26,,,,
T_L1_N,07:01:16,07:01:41,180_HQO_METRO_N,27,,,,
T_L1_N,07:03:07,07:03:40,180_SQO_METRO_N,28,,,,
T_L1_N,07:05:21,07:05:52,178_DZT_METRO_N,29,,,,
T_L1_N,07:08:00,07:08:37,223_HZT_METRO_N,30,,,,
T_L1_N,07:10:22,07:10:54,223_MAT_METRO_N,31,,,,
T_L1_N,07:12:32,07:13:07,226_AIN_METRO_N,32,,,,
T_L1_N,07:14:49,07:15:29,232_NKH_METRO_N,33,,,,
T_L1_N,07:18:49,07:19:54,251_MRG_METRO_N,34,,,,
T_L1_N,07:23:40,07:23:43,251_NMR_METRO_N,35,,,,
T_L1_S,06:00:00,06:00:00,251_NMR_METRO_S,1,,,,
T_L1_S,06:03:23,06:04:03,251_MRG_METRO_S,2,,,,
T_L1_S,06:06:33,06:06:55,232_NKH_METRO_S,3,,,,
T_L1_S,06:08:25,06:08:51,226_AIN_METRO_S,4,,,,
T_L1_S,06:10:24,06:11:08,223_MAT_METRO_S,5,,,,
T_L1_S,06:12:24,06:12:48,223_HZT_METRO_S,6,,,,
T_L1_S,06:14:17,06:14:48,178_DZT_METRO_S,7,,,,
T_L1_S,06:16:12,06:16:41,180_SQO_METRO_S,8,,,,
T_L1_S,06:18:08,06:18:29,180_HQO_METRO_S,9,,,,
T_L1_S,06:19:42,06:20:05,180_KQO_METRO_S,10,,,,
T_L1_S,06:21:26,06:21:52,160_MSD_METRO_S,11,,,,
T_L1_S,06:23:44,06:24:40,159_DMD_METRO_S,12,,,,
T_L1_S,06:26:38,06:27:13,137_GHM_METRO_S,13,,,,
T_L1_S,06:29:23,06:30:11,100_SHO_METRO_S,14,,,,
T_L1_S,06:31:13,06:31:32,98_ORA_METRO_S,15,,,,
T_L1_S,06:32:50,06:33:49,87_NAS_METRO_S,16,,,,
T_L1_S,06:35:26,06:35:57,86_SAD_METRO_S,17,,,,
T_L1_S,06:37:24,06:38:05,52_SZA_Metro_S,18,,,,
T_L1_S,06:39:21,06:40:02,47_ZEI_Metro_S,19,,,,
T_L1_S,06:41:38,06:42:02,32_MSH_Metro_S,20,,,,
T_L1_S,06:43:38,06:43:56,34_MGR_METRO_S,21,,,,
T_L1_S,06:45:45,06:46:09,31_ZAH_Metro_S,22,,,,
T_L1_S,06:48:22,06:48:46,246_DAR_METRO_S,23,,,,
T_L1_S,06:50:33,06:50:53,246_HMA_METRO_S,24,,,,
T_L1_S,06:52:27,06:52:54,23_MAD_METRO_S,25,,,,
T_L1_S,06:54:12,06:54:36,23_SMA_METRO_S,26,,,,
T_L1_S,06:56:12,06:56:30,28_TBA_METRO_S,27,,,,
T_L1_S,06:58:19,06:58:39,26_KZK_METRO_S,28,,,,
T_L1_S,07:00:17,07:00:35,27_TAS_METRO_S,29,,,,
T_L1_S,07:03:17,07:03:33,7_MAA_METRO_S,30,,,,
T_L1_S,07:04:56,07:06:41,14_HHL_METRO_S,31,,,,
T_L1_S,07:08:53,07:09:20,14_HOF_METRO_S,32,,,,
T_L1_S,07:11:10,07:11:33,10_UHL_METRO_S,33,,,,
T_L1_S,07:13:11,07:14:38,10_AHL_METRO_S,34,,,,
T_L1_S,07:22:31,07:22:35,10_HLW_METRO_S,35,,,,
T_L2_N,06:00:00,06:00:00,263_MON_METRO_N,1,,,,
