trip_id,start_time,end_time,headway_secs
BOX_6O32_O (15-00-00),15:00:00,23:00:00,300
BOX_6O32_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC190_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC190_O (06-30-00),06:30:00,15:00:00,300
BOX_6O32_R (15-00-00),15:00:00,23:00:00,300
BOX_6O32_R (06-30-00),06:30:00,15:00:00,300
P_B_8_6O29_R (15-00-00),15:00:00,23:00:00,300
P_B_8_6O29_R (06-30-00),06:30:00,15:00:00,300
P_B_8_6O30_R (15-00-00),15:00:00,23:00:00,300
P_B_8_6O30_R (06-30-00),06:30:00,15:00:00,300
P_B_8_SZ15_R (15-00-00),15:00:00,23:00:00,300
P_B_8_SZ15_R (06-30-00),06:30:00,15:00:00,300
P_B_8_SZ15_O (15-00-00),15:00:00,23:00:00,300
P_B_8_SZ15_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC188_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC188_O (06-30-00),06:30:00,15:00:00,300
CTA_1043_O (15-00-00),15:00:00,23:00:00,300
CTA_1043_O (06-30-00),06:30:00,15:00:00,300
CTA_1043_R (15-00-00),15:00:00,23:00:00,300
CTA_1043_R (06-30-00),06:30:00,15:00:00,300
P_B_8_6O30_O (15-00-00),15:00:00,23:00:00,300
P_B_8_6O30_O (06-30-00),06:30:00,15:00:00,300
P_B_8_6O31_O (15-00-00),15:00:00,23:00:00,300
P_B_8_6O31_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC187_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC187_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC187_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC187_O (06-30-00),06:30:00,15:00:00,300
P_B_8_SZ14_O (15-00-00),15:00:00,23:00:00,300
P_B_8_SZ14_O (06-30-00),06:30:00,15:00:00,300
P_B_8_SZ11_O (15-00-00),15:00:00,23:00:00,300
P_B_8_SZ11_O (06-30-00),06:30:00,15:00:00,300
P_B_8_6O29_O (15-00-00),15:00:00,23:00:00,300
P_B_8_6O29_O (06-30-00),06:30:00,15:00:00,300
BOX_6O27_R (15-00-00),15:00:00,23:00:00,300
BOX_6O27_R (06-30-00),06:30:00,15:00:00,300
P_B_8_6O28_R (15-00-00),15:00:00,23:00:00,300
P_B_8_6O28_R (06-30-00),06:30:00,15:00:00,300
P_B_8_6O28_O (15-00-00),15:00:00,23:00:00,300
P_B_8_6O28_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC37_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC37_R (06-30-00),06:30:00,15:00:00,300
BOX_6O27_O (15-00-00),15:00:00,23:00:00,300
BOX_6O27_O (06-30-00),06:30:00,15:00:00,300
CTA_M_321_O (15-00-00),15:00:00,23:00:00,300
CTA_M_321_O (06-30-00),06:30:00,15:00:00,300
CTA_M_304_O (15-00-00),15:00:00,23:00:00,300
CTA_M_304_O (06-30-00),06:30:00,15:00:00,300
CTA_M_142_O (15-00-00),15:00:00,23:00:00,300
CTA_M_142_O (06-30-00),06:30:00,15:00:00,300
CTA_M_321_R (15-00-00),15:00:00,23:00:00,300
CTA_M_321_R (06-30-00),06:30:00,15:00:00,300
CTA_M_304_R (15-00-00),15:00:00,23:00:00,300
CTA_M_304_R (06-30-00),06:30:00,15:00:00,300
CTA_M_142_R (15-00-00),15:00:00,23:00:00,300
CTA_M_142_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC138_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC138_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC82_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC82_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC139_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC139_R (06-30-00),06:30:00,15:00:00,300
CTA_1013_O (15-00-00),15:00:00,23:00:00,300
CTA_1013_O (06-30-00),06:30:00,15:00:00,300
CTA_1013_R (15-00-00),15:00:00,23:00:00,300
CTA_1013_R (06-30-00),06:30:00,15:00:00,300
CTA_M_109_O (15-00-00),15:00:00,23:00:00,300
CTA_M_109_O (06-30-00),06:30:00,15:00:00,300
CTA_573_R (15-00-00),15:00:00,23:00:00,300
CTA_573_R (06-30-00),06:30:00,15:00:00,300
CTA_573_O (15-00-00),15:00:00,23:00:00,300
CTA_573_O (06-30-00),06:30:00,15:00:00,300
CTA_1047_O (15-00-00),15:00:00,23:00:00,300
CTA_1047_O (06-30-00),06:30:00,15:00:00,300
CTA_1047_R (15-00-00),15:00:00,23:00:00,300
CTA_1047_R (06-30-00),06:30:00,15:00:00,300
BOX_6O24_R (15-00-00),15:00:00,23:00:00,300
BOX_6O24_R (06-30-00),06:30:00,15:00:00,300
P_B_8_NC18_R (15-00-00),15:00:00,23:00:00,300
P_B_8_NC18_R (06-30-00),06:30:00,15:00:00,300
CTA_211_R (15-00-00),15:00:00,23:00:00,300
CTA_211_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC90_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC90_O (06-30-00),06:30:00,15:00:00,300
P_O_14_GD01_R (15-00-00),15:00:00,23:00:00,300
P_O_14_GD01_R (06-30-00),06:30:00,15:00:00,300
P_O_14_GD01_O (15-00-00),15:00:00,23:00:00,300
P_O_14_GD01_O (06-30-00),06:30:00,15:00:00,300
P_O_14_GD02_O (15-00-00),15:00:00,23:00:00,300
P_O_14_GD02_O (06-30-00),06:30:00,15:00:00,300
P_O_14_GD02_R (15-00-00),15:00:00,23:00:00,300
P_O_14_GD02_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC03_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC03_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC91_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC91_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC105_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC105_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC75_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC75_O (06-30-00),06:30:00,15:00:00,300
CTA_M_225_O (15-00-00),15:00:00,23:00:00,300
CTA_M_225_O (06-30-00),06:30:00,15:00:00,300
CTA_M_302_O (15-00-00),15:00:00,23:00:00,300
CTA_M_302_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC112_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC112_O (06-30-00),06:30:00,15:00:00,300
CTA_M_126_O (15-00-00),15:00:00,23:00:00,300
CTA_M_126_O (06-30-00),06:30:00,15:00:00,300
CTA_M_14_O (15-00-00),15:00:00,23:00:00,300
CTA_M_14_O (06-30-00),06:30:00,15:00:00,300
CTA_M_19_O (15-00-00),15:00:00,23:00:00,300
CTA_M_19_O (06-30-00),06:30:00,15:00:00,300
CTA_1016_R (15-00-00),15:00:00,23:00:00,300
CTA_1016_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC110_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC110_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC133_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC133_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC146_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC146_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC78_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC78_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC109_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC109_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC114_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC114_R (06-30-00),06:30:00,15:00:00,300
COOP_IC59_R (15-00-00),15:00:00,23:00:00,300
COOP_IC59_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC83_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC83_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC16_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC16_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC39_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC39_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC84_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC84_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC82_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC82_R (06-30-00),06:30:00,15:00:00,300
COOP_IC27_R (15-00-00),15:00:00,23:00:00,300
COOP_IC27_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC59_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC59_O (06-30-00),06:30:00,15:00:00,300
COOP_IC57_O (15-00-00),15:00:00,23:00:00,300
COOP_IC57_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC26_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC26_O (06-30-00),06:30:00,15:00:00,300
P_B_8_IC134_O (15-00-00),15:00:00,23:00:00,300
P_B_8_IC134_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC134_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC134_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC42_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC42_O (06-30-00),06:30:00,15:00:00,300
P_B_8_IC121_R (15-00-00),15:00:00,23:00:00,300
P_B_8_IC121_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC51_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC51_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC53_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC53_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC37_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC37_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC54_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC54_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC25_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC25_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC170_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC170_R (06-30-00),06:30:00,15:00:00,300
P_B_8_IC100_R (15-00-00),15:00:00,23:00:00,300
P_B_8_IC100_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC88_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC88_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC51_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC51_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC92_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC92_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC93_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC93_R (06-30-00),06:30:00,15:00:00,300
COOP_IC56_O (15-00-00),15:00:00,23:00:00,300
COOP_IC56_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC60_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC60_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC61_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC61_R (06-30-00),06:30:00,15:00:00,300
CTA_M_302_R (15-00-00),15:00:00,23:00:00,300
CTA_M_302_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC142_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC142_R (06-30-00),06:30:00,15:00:00,300
COOP_IC56_R (15-00-00),15:00:00,23:00:00,300
COOP_IC56_R (06-30-00),06:30:00,15:00:00,300
COOP_IC140_O (15-00-00),15:00:00,23:00:00,300
COOP_IC140_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC141_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC141_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC77_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC77_O (06-30-00),06:30:00,15:00:00,300
COOP_IC57_R (15-00-00),15:00:00,23:00:00,300
COOP_IC57_R (06-30-00),06:30:00,15:00:00,300
P_B_8_IC108_R (15-00-00),15:00:00,23:00:00,300
P_B_8_IC108_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC53_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC53_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC166_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC166_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC60_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC60_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC48_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC48_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC95_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC95_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC66_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC66_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC79_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC79_R (06-30-00),06:30:00,15:00:00,300
P_O_14_IC48_R (15-00-00),15:00:00,23:00:00,300
P_O_14_IC48_R (06-30-00),06:30:00,15:00:00,300
COOP_IC23_O (15-00-00),15:00:00,23:00:00,300
COOP_IC23_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC16_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC16_O (06-30-00),06:30:00,15:00:00,300
P_O_14_IC27_O (15-00-00),15:00:00,23:00:00,300
P_O_14_IC27_O (06-30-00),06:30:00,15:00:00,300
