trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,timepoint
BOX_6O01_O (06-30-00),geologist.usual.debating,1,06:30:00,06:30:15,,,,
BOX_6O01_O (06-30-00),wager.cosmic.removers,2,06:37:33,06:37:48,,,,
BOX_6O01_O (06-30-00),storming.limits.refilled,3,06:49:18,06:49:33,,,,
BOX_6O01_O (06-30-00),cope.glitter.subtitle,4,06:52:28,06:53:28,,,,
BOX_6O01_O (15-00-00),geologist.usual.debating,1,15:00:00,15:00:15,,,,
BOX_6O01_O (15-00-00),wager.cosmic.removers,2,15:07:40,15:07:55,,,,
BOX_6O01_O (15-00-00),storming.limits.refilled,3,15:19:39,15:19:54,,,,
BOX_6O01_O (15-00-00),cope.glitter.subtitle,4,15:22:49,15:23:49,,,,
BOX_6O01_R (06-30-00),hamsters.origin.remake,1,06:30:00,06:30:15,,,,
BOX_6O01_R (06-30-00),ponies.choirs.trembles,2,06:33:53,06:34:08,,,,
BOX_6O01_R (06-30-00),geologist.usual.debating,3,06:47:01,06:48:01,,,,
BOX_6O01_R (15-00-00),hamsters.origin.remake,1,15:00:00,15:00:15,,,,
BOX_6O01_R (15-00-00),ponies.choirs.trembles,2,15:03:44,15:03:59,,,,
BOX_6O01_R (15-00-00),geologist.usual.debating,3,15:17:15,15:18:15,,,,
BOX_6O02_O (06-30-00),deflation.shun.swear,1,06:30:00,06:30:15,,,,
BOX_6O02_O (06-30-00),driftwood.jeering.migrants,2,06:33:24,06:33:39,,,,
BOX_6O02_O (06-30-00),dizzy.nerve.mows,3,06:34:27,06:34:42,,,,
BOX_6O02_O (06-30-00),slack.patrolled.treatable,4,06:36:38,06:36:53,,,,
BOX_6O02_O (06-30-00),rotations.blank.awestruck,5,06:38:20,06:39:20,,,,
BOX_6O02_O (15-00-00),deflation.shun.swear,1,15:00:00,15:00:15,,,,
BOX_6O02_O (15-00-00),driftwood.jeering.migrants,2,15:03:15,15:03:30,,,,
BOX_6O02_O (15-00-00),dizzy.nerve.mows,3,15:04:15,15:04:30,,,,
BOX_6O02_O (15-00-00),slack.patrolled.treatable,4,15:06:23,15:06:38,,,,
BOX_6O02_O (15-00-00),rotations.blank.awestruck,5,15:08:01,15:09:01,,,,
BOX_6O02_R (06-30-00),rotations.blank.awestruck,1,06:30:00,06:30:15,,,,
BOX_6O02_R (06-30-00),sway.approach.firepower,2,06:32:20,06:32:35,,,,
BOX_6O02_R (06-30-00),muscular.mocked.scripted,3,06:34:46,06:35:01,,,,
BOX_6O02_R (06-30-00),trailing.applauded.unto,4,06:35:59,06:36:14,,,,
BOX_6O02_R (06-30-00),deflation.shun.swear,5,06:43:40,06:44:40,,,,
BOX_6O02_R (15-00-00),rotations.blank.awestruck,1,15:00:00,15:00:15,,,,
BOX_6O02_R (15-00-00),sway.approach.firepower,2,15:02:14,15:02:29,,,,
BOX_6O02_R (15-00-00),muscular.mocked.scripted,3,15:04:35,15:04:50,,,,
BOX_6O02_R (15-00-00),trailing.applauded.unto,4,15:05:46,15:06:01,,,,
BOX_6O02_R (15-00-00),deflation.shun.swear,5,15:13:41,15:14:41,,,,
BOX_6O08_O (06-30-00),deflation.shun.swear,1,06:30:00,06:30:15,,,,
BOX_6O08_O (06-30-00),burden.swarm.heeding,2,06:38:47,06:39:02,,,,
BOX_6O08_O (06-30-00),clogging.plots.quirky,3,06:40:37,06:41:37,,,,
BOX_6O08_O (15-00-00),deflation.shun.swear,1,15:00:00,15:00:15,,,,
