stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
garlic.collects.motel,Sultan Abou Al Ela Mosque - Maspero,,30.0563293891762,31.2308393389248,0,,
backtrack.slippers.yours,Al Sawy Culture Wheel,,30.0621282321968,31.2171207915408,0,,
swordfish.priced.workroom,Kit Kat Square,,30.0664816673427,31.2135584946213,0,,
innocence.doll.meanings,Imbaba Police Station,,30.0752083602996,31.2221606668141,0,,
taxpayers.lived.repair,Kit Kat District,,30.0710903387069,31.217552332867,0,,
incorrect.full.deflation,Al Nozha Al Gadeeda,,30.1175814271584,31.3609223638969,0,,
dogs.buns.earplugs,Al Sayeda Khadija Mosque - Al Hegaz Street,,30.1180309121652,31.3554953307301,0,,
president.resettle.tonsils,National Institute for Occupational Safety and Health (Al Amn Al Senaey),,30.1131273185775,31.34819007452,0,,
sleepers.insurers.courage,Al Hegaz Square,,30.1114705587866,31.34534969187,0,,
scooters.decks.logged,Saint Fatima Square,,30.1057105727969,31.3438091135567,0,,
preparing.hazelnuts.troll,Triumph Square,,30.1008700973533,31.3430500845738,0,,
aviators.cubs.trousers,Safeer Square - Heliopolis,,30.0975181683717,31.3383830959035,0,,
impressed.newly.snapper,Al Ismailiya Square,,30.0966969054044,31.3348797126976,0,,
glare.napped.modifies,Salah Al Din Square - Heliopolis,,30.0952219840107,31.3302784423706,0,,
slanting.look.fluffed,Korba District,,30.0926096394015,31.3232125341665,0,,
anchorman.empires.shears,Al Itihadeya,,30.0905704890928,31.3198005445015,0,,
poetic.scoop.basic,Abbasseya Square,,30.0739111632029,31.2854049136644,0,,
hang.hangs.headrest,Al Demerdash Metro Station,,30.0765837884698,31.2770335809474,0,,
visits.bookings.scars,Ghamra,,30.068195662989,31.2639838525689,0,,
dreamer.troubles.sharpness,Al Mohandes Insurance - Ramses,,30.0665967346997,31.259818218308,0,,
infants.cyber.observer,Coptic Hospital,,30.0635196919652,31.2519757108609,0,,
purifier.irritable.still,Ahmed Helmy,,30.0648337025954,31.244873117975,0,,
spent.crowns.objective,Ahmed Helmy,,30.0649470599656,31.2447539765257,0,,
bleach.playroom.stapled,Ghamra,,30.0680958341137,31.2640841457888,0,,
articulated.unspoiled.offstage,Abbasseya Square,,30.0741197968204,31.2855205826179,0,,
sprint.managed.canoe,Roxy,,30.0932239263487,31.3153386657415,0,,
topples.outfitter.overhead,Ibrahim Anwar Mosque - Al Zaytoun,,30.102991940995,31.3005289528299,0,,
waistcoat.required.formal,Saray Al Qobba,,30.0979704981325,31.3073497860369,0,,
builds.shipwreck.dine,Gesr Al Suez - Al Qobba,,30.0954800070666,31.3108394461007,0,,
fermented.blasted.inert,Al Itihadeya,,30.0902902607808,31.3198397506148,0,,
deodorant.debt.chess,Korba District,,30.0924023977952,31.3233676861791,0,,
tweeted.postage.launcher,Salah Al Din Square - Heliopolis,,30.095050599354,31.3303463134862,0,,
opens.perusing.sadly,Safeer Square - Heliopolis,,30.0978504017717,31.3385105540127,0,,
harvest.cuddling.hype,Al Ismailiya Square,,30.0964597064779,31.3349901631544,0,,
unscathed.amplifier.appendix,Triumph Square,,30.1008399972847,31.3432903179452,0,,
part.september.discloses,Saint Fatima Square,,30.1056207359343,31.3440809528884,0,,
carpentry.mash.guarded,Al Hegaz Square,,30.110910237958,31.3458016326417,0,,
cheek.digit.important,Bisco Misr - Al Zaytoun,,30.1042078790245,31.2960810231116,0,,
lasts.worthy.collected,Dabsha - Al Zaytoun,,30.1066587250057,31.287834507651,0,,
strapping.suppers.sofa,Port Said Street - Al Sawah,,30.107545901153,31.2839909187265,0,,
eyelash.massaging.enormous,Al Mazallat - Shubra,,30.1020057651952,31.2457791947129,0,,
landowner.constrain.unwound,Al Demerdash Hospital,,30.0714663340447,31.2764753770432,0,,
legs.undercuts.secrets,Al Mohandes Insurance - Ramses,,30.0664197870669,31.2598953400858,0,,
achieving.cool.yachting,Gamal Abd Al Nasser Metro Station,,30.0534836427058,31.2388437841701,0,,
hopes.myth.hypocrite,Sultan Abou Al Ela Mosque - Maspero,,30.0562434024182,31.2308167576279,0,,
singers.regrowth.suave,Al Sawy Culture Wheel,,30.0622066721193,31.217157867387,0,,
lure.disbelief.appealed,Kit Kat Square,,30.0665444221292,31.2139404158382,0,,
stun.lobby.crowds,Kit Kat District,,30.0710223226535,31.2176523913648,0,,
store.remembers.trifle,Imbaba Police Station,,30.0749474354153,31.2220838800962,0,,
wealth.breeding.battling,Abd Al Moneim Riad,,30.05073,31.23446,0,,
sample.flow.stolen,Ahmed Oraby - Ramses,,30.0570043138007,31.2424580497664,0,,
cones.snowmen.clays,Ahmed Oraby Street,,30.0607388095557,31.2428805852267,0,,
employers.regard.direction,Maadi Military Hospital,,29.9681702318807,31.2394901016328,0,,
paces.terminology.geese,Dar Al Salam,,29.9810147508264,31.2316940732472,0,,
ironclad.relaxing.fantastic,Al Salam International Hospital,,29.985061321308,31.2296909288587,0,,
loving.flood.rebounded,Misr Al Qadimah,,30.0005099458817,31.2278400005808,0,,
meanwhile.sadly.century,Al Malek Al Saleh Bridge,,30.0157434535327,31.2287238548493,0,,
treaties.saturate.chips,Fom Al Khalig,,30.0228701803117,31.2309002480295,0,,
applause.painting.cuddling,Fom Al Khalig,,30.0230796600313,31.230189860802,0,,
chaos.stint.proven,Abou Al Reesh,,30.0282820633422,31.237447185474,0,,
poster.reclining.album,Al Sayeda Zeinab,,30.0320802658022,31.2429426181604,0,,
judges.logged.stability,Ahmed Maher Teaching Hospital,,30.0396900938298,31.2503725602911,0,,
march.secret.blissful,Ahmed Maher Teaching Hospital,,30.0398173908327,31.250235208627,0,,
signs.lashed.remodels,Al Banat Mosque,,30.0465266878202,31.2539953751406,0,,
segregate.crawler.prices,Al Moski - Port Said Street,,30.0480060668078,31.2549674746427,0,,
spend.searcher.pint,Cairo Security Directorate (Modereyet Amn Al Qahera),,30.0436715553187,31.2528122413126,0,,
kilt.epic.edgy,Zahraa Nasr City,,30.051251993671,31.3999734022762,0,,
nurture.princely.fuzz,Zahraa Nasr City,,30.0514911437987,31.399919968774,0,,
reinforce.dividing.hindering,10th District (Al Hay Al Asher) - Nasr City,,30.0490715416558,31.3786575545912,0,,
bolt.baths.putty,Al Salam Mosque - Nasr City,,30.0467009214167,31.3565895518774,0,,
dazzling.peach.valley,Al Salam Mosque - Nasr City,,30.0464502930063,31.3562025393877,0,,
riverboat.sands.resting,Al Manhal Private School,,30.0557599977235,31.3573199980796,0,,
noble.modes.conforms,Al Manhal Private School,,30.0559589116536,31.3575179682342,0,,
states.bearable.suffix,Al Tawheed Wal Nour - Mostafa Al Nahas,,30.0545472197356,31.3463085496175,0,,
saved.sugars.massaging,Al Tawheed Wal Nour - Mostafa Al Nahas,,30.05477,31.34609,0,,
name.huddling.solar,Alf Maskan,,30.1192116747929,31.3408912706626,0,,
cleanser.radiates.salads,CTA Garage - Heliopolis,,30.1284716366694,31.361688272671,0,,
deflated.bath.animates,Ain Shams University,,30.0757674859676,31.287046533252,0,,
hurtles.rocked.contrived,Ain Shams University,,30.0756368929412,31.2873035709854,0,,
slope.depend.bandaged,Armed Forces Medical Complex - Kobry Al Qobba,,30.0859016653936,31.2980546977185,0,,
beaters.excuse.pocketed,Armed Forces Medical Complex - Kobry Al Qobba,,30.0860479661009,31.2979048843546,0,,
tweeted.technical.longingly,Bab Al Shaaria Square,,30.0547104767756,31.2576791486587,0,,
topical.emotional.slave,Al Tawheed Wal Nour - Al Geish Street,,30.0603898977268,31.264069263118,0,,
appraised.corrects.companies,Al Geish Square,,30.0621694640966,31.2677919513854,0,,
moped.assures.health,Al Geish Square,,30.0623707784761,31.267965576372,0,,
widen.strong.predict,Abdo Basha,,30.065383325033,31.2766722083884,0,,
noun.unheated.relieves,Abdo Basha,,30.0652960012618,31.2767336400288,0,,
slap.front.spillage,Air Force Hospital - Al Waili,,30.0625083795232,31.2735292477306,0,,
nicely.bandwagon.occur,Misr Sudan - 7th District - Nasr City,,30.049001883255,31.328009561713,0,,
spillage.kicked.detonated,Misr Sudan - 7th District - Nasr City,,30.0489753464737,31.3277971652879,0,,
stuns.node.embodied,Health Insurance Hospital - Nasr City,,30.0598079954325,31.3259732241742,0,,
shun.generated.boot,Rabaah Al Adaweya Mosque,,30.0674352497287,31.324691664858,0,,
cornering.indoors.stereos,Khedr Al Touny - Al Tayaran,,30.0755715827001,31.3219618957005,0,,
otter.jukebox.merge,Heliopolis Sporting Club,,30.0889685540931,31.3174144187327,0,,
dimension.skyrocket.fuels,Sphinx Square,,30.0599736498235,31.2080616000698,0,,
picture.responded.bravo,Al Sekka Al Hadid Sporting Club - Nasr City,,30.0589667892289,31.3028688869753,0,,
founders.bicker.aunts,Al Sekka Al Hadid Sporting Club - Nasr City,,30.0585292318074,31.3024799075575,0,,
peroxide.racetrack.strumming,Al Azhar University - North,,30.0626795258496,31.3110116534028,0,,
enlarge.winds.torch,Al Azhar University - North,,30.062840697304,31.3109518828719,0,,
liberated.expand.encloses,Arab Contractors Sporting Club - Nasr Road,,30.0555000379686,31.2946990861867,0,,
chromatic.charm.firmer,ENPPI,,30.0449305634113,31.3407548364035,0,,
player.allowable.phantom,Manshiyat Nasser,,30.0452971822202,31.2790577923377,0,,
risky.evolves.startles,Al Kasr Al Aini Hospital,,30.0308300337529,31.2325101489207,0,,
sensual.gratitude.massaged,Giza Square,,30.01566,31.21183,0,,
decompose.hiring.skis,Al Kasr Al Aini Hospital,,30.0291694126062,31.2309104514435,0,,
laugh.renews.surprise,Syndicate Of Commercial Professions - Abbasseya,,30.0665820167394,31.2941269012143,0,,
pyramid.womanly.forehand,Syndicate Of Commercial Professions - Abbasseya,,30.0667815470527,31.2943335250982,0,,
sprinkle.bookmark.excavated,Al Khalafawy Square,,30.0978184544003,31.2453103508586,0,,
withdraws.watchdogs.delighted,Al Khalafawy Square,,30.0978154256161,31.2454498798671,0,,
passports.smuggled.protest,Rod Al Farag Metro Station,,30.0807101440354,31.24533,0,,
bookcases.message.area,Abdeen,,30.0411401139405,31.2455857914193,0,,
glory.equivocal.utensil,Al Tabba - Nasr City,,30.0584189385163,31.3800110540787,0,,
flush.cheese.sagging,Imbaba Fevers Hospital,,30.0838330082927,31.2259918516784,0,,
against.fortunes.constants,Hadabet Al Ahram,,29.9713170291191,31.1086374571329,0,,
cosmic.fish.basket,Hadabet Al Ahram,,29.9713307012964,31.1085232522418,0,,
jetliner.magnets.renovated,Al Remaya Square,,29.9887140700724,31.1278083555783,0,,
steam.archive.version,Al Remaya Square,,29.9886351011664,31.1286341173145,0,,
perfected.lock.wording,Al Sekka Al Hadid Sporting Club - Nasr City,,30.0586295615893,31.303396679758,0,,
lifeboats.tomorrow.exhaled,Ahmed Oraby - Ramses,,30.0575522657162,31.241502690538,0,,
slab.boss.lamppost,Al Sayeda Aisha,,30.0261602888043,31.2572172916252,0,,
skid.themes.jumbled,Abbasseya Bridge - End,,30.0753572634676,31.2837102637933,0,,
crafted.amphibian.elevate,Gamal Abd Al Nasser Metro Station,,30.053936228801,31.2377080320011,0,,
equality.regrowth.fizzy,Roxy,,30.0930592581847,31.3152318498378,0,,
vest.centrally.recital,Abd Al Moneim Riad,,30.0501737668317,31.233239209096,0,,
baroness.commutes.sweetener,Abd Al Moneim Riad,,30.0494980232462,31.2312721019486,0,,
quantity.sunset.cookie,Abd Al Moneim Riad,,30.0486703189325,31.232644317338,0,,
squabbles.outsiders.wrenching,Sudan Street,,30.0594183132264,31.190032767175,0,,
harp.stoppage.mega,Sudan Street,,30.0592031364608,31.1900829307612,0,,
customers.crass.pining,American University in Cairo (AUC) - New Cairo,,30.00969,31.5235,0,,
improvise.lushly.packing,American University in Cairo (AUC) - New Cairo,,30.00982,31.52381,0,,
newlyweds.lakeside.flank,3rd Settlement (Tagamoa Thaleth),,29.9834,31.44278,0,,
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),,29.9840110915113,31.4429099530515,0,,
belonging.treatment.feathers,Al Karma Compound Gate - Sheikh Zayed,El-Karma Gate 'Southbound',30.0422656647319,31.0042940666358,0,,
flexibly.mash.truly,Al Rawda - Al Horreya,El-Rawda - El-Horeya '7pm',30.0405050409672,31.002909112535,0,,
fills.ooze.microchip,Zain Paint Store - Al Rawda - Sheikh Zayed,Zain Paint Store 'Southbound',30.0384667906936,31.004971545789,0,,
ship.emotional.mixer,Hyper - Sheikh Zayed,Hyper One - Me7war 'Eastbound',30.0295216618406,31.0239592509846,0,,
