route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
L1,NAT,M1,Metro Line 1,Helwan - El Marg,1,2E4A78,FFFFFF,
L2,NAT,M2,Metro Line 2,Shobra El Kheima - El Mounib,1,A63457,FFFFFF,
L3,NAT,M3,Metro Line 3,Attaba - Al Ahram,1,325F3B,FFFFFF,
BOX_6O01,BOX,6O01,Mostaqbal Entrance-Masaken Othman,,3,,,
BOX_6O02,BOX,6O02,Al Souk Al Qadeem-Daewoo,,3,,,
BOX_6O08,BOX,6O08,Al Souk Al Qadeem-Hamada Imam,,3,,,
BOX_6O09,BOX,6O09,District 6-Bashayer,,3,,,
BOX_6O13,BOX,6O13,Dolce-District 10,,3,,,
BOX_6O17,BOX,6O17,El Hossary-Al Muluk,,3,,,
BOX_6O18,BOX,6O18,El Hossary-Ahram Canadian University,,3,,,
BOX_6O24,BOX,6O24,Laylat Al Qadr-Total 6 October,,3,,,
BOX_6O25,BOX,6O25,Laylat Al Qadr-District 10,,3,,,
BOX_6O27,BOX,6O27,District6-District10,,3,,,
BOX_6O32,BOX,6O32,Al Souk Al Qadeem-Industrial Zone 3,,3,,,
COOP_IC135,COOP,IC135,Bonook-10th of Ramadan Station (Asher Men Ramadan),,3,,,
COOP_IC140,COOP,IC140,Mahkama-10th of Ramadan Station (Asher Men Ramadan),,3,,,
COOP_IC151,COOP,IC151,FUE-10th of Ramadan Station (Asher Men Ramadan),,3,,,
COOP_IC20,COOP,IC20,Hyper-10th of Ramadan Station (Asher Men Ramadan),,3,,,
COOP_IC23,COOP,IC23,Hyper-Warraq,,3,,,
COOP_IC27,COOP,IC27,Hyper-Qawmeya Arabeya,,3,,,
COOP_IC56,COOP,IC56,New Marg-Mahkama,,3,,,
COOP_IC57,COOP,IC57,New Marg-Higher Technological Institute,,3,,,
COOP_IC59,COOP,IC59,New Marg-Rehab Gate 13,,3,,,
CTA_1001,CTA,1001,First Settlement-Abd Al Moneim Riad,,3,,,
CTA_1010,CTA,1010,First Settlement-Attaba,,3,,,
CTA_1013,CTA,1013,Abd Al Moneim Riad-Al Souk Al Qadeem,,3,,,
CTA_1016,CTA,1016,Dawaran Shubra-Al Shorouq,,3,,,
CTA_1017,CTA,1017,Al Souk Al Qadeem-Al Moassasa,,3,,,
CTA_1018,CTA,1018,Third Settlement-Ahmed Helmy,,3,,,
CTA_1019,CTA,1019,First Settlement-Masaken Zainhom,,3,,,
CTA_1020,CTA,1020,Badr-Ahmed Helmy,,3,,,
CTA_1022,CTA,1022,Al Souk Al Qadeem-Giza Square,,3,,,
CTA_1024,CTA,1024,Ahmed Helmy-Kattameyya,,3,,,
CTA_1032,CTA,1032,Al Moassasa-Obour,,3,,,
CTA_1033,CTA,1033,First Settlement-Dawaran Shubra,,3,,,
CTA_1043,CTA,1043,Imbaba-Kan Kan,,3,,,
CTA_1047,CTA,1047,Abd Al Moneim Riad-Badr,,3,,,
CTA_1056,CTA,1056,Abd Al Moneim Riad-Al Shorouq,,3,,,
CTA_1062,CTA,1062,Abd Al Moneim Riad-AUC,,3,,,
CTA_1064,CTA,1064,Third Settlement-Attaba,,3,,,
CTA_1078,CTA,1078,First Settlement-El Matbaa,,3,,,
CTA_1083,CTA,1083,Abd Al Moneim Riad-Obour,,3,,,
CTA_1107,CTA,1107,Kattameyya-Imbaba,,3,,,
CTA_1111,CTA,1111,Third Settlement-Shubra Al Kheima,,3,,,
CTA_1122,CTA,1122,Third Settlement-New Marg,,3,,,
CTA_1130,CTA,1130,First Settlement-Abd Al Moneim Riad,,3,,,
