route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,wheelchair_accessible
L3,Metro_Daily,T_L3_W,Ahram - Attaba,1,T_L3_W_shape,1
L1,Metro_Daily,T_L1_N,Helwan - El Marg,0,T_L1_N_shape,1
L1,Metro_Daily,T_L1_S,El Marg - Helwan,1,T_L1_S_shape,1
L2,Metro_Daily,T_L2_S,El Mounib - Shobra El Kheima,0,T_L2_S_shape,1
L2,Metro_Daily,T_L2_N,Shobra El Kheima - El Mounib,1,T_L2_N_shape,1
L3,Metro_Daily,T_L3_E,Attaba - Ahram,0,T_L3_E_shape,1
BOX_6O32,Ground_Daily,BOX_6O32_O (15-00-00),Al Souk Al Qadeem-Industrial Zone 3,0,BOX_6O32_O_shape,
BOX_6O32,Ground_Daily,BOX_6O32_O (06-30-00),Al Souk Al Qadeem-Industrial Zone 3,0,BOX_6O32_O_shape,
P_O_14_IC190,Ground_Daily,P_O_14_IC190_O (15-00-00),Awwal Makram Ebeid-Haram Mashaal,0,P_O_14_IC190_O_shape,
P_O_14_IC190,Ground_Daily,P_O_14_IC190_O (06-30-00),Awwal Makram Ebeid-Haram Mashaal,0,P_O_14_IC190_O_shape,
BOX_6O32,Ground_Daily,BOX_6O32_R (15-00-00),Industrial Zone 3-Al Souk Al Qadeem,1,BOX_6O32_R_shape,
BOX_6O32,Ground_Daily,BOX_6O32_R (06-30-00),Industrial Zone 3-Al Souk Al Qadeem,1,BOX_6O32_R_shape,
P_B_8_6O29,Ground_Daily,P_B_8_6O29_R (15-00-00),El Hossary-District 10,1,P_B_8_6O29_R_shape,
P_B_8_6O29,Ground_Daily,P_B_8_6O29_R (06-30-00),El Hossary-District 10,1,P_B_8_6O29_R_shape,
P_B_8_6O30,Ground_Daily,P_B_8_6O30_R (15-00-00),District 6-Laylat Al Qadr,1,P_B_8_6O30_R_shape,
P_B_8_6O30,Ground_Daily,P_B_8_6O30_R (06-30-00),District 6-Laylat Al Qadr,1,P_B_8_6O30_R_shape,
P_B_8_SZ15,Ground_Daily,P_B_8_SZ15_R (15-00-00),Maahad Baneen-Hyper,1,P_B_8_SZ15_R_shape,
P_B_8_SZ15,Ground_Daily,P_B_8_SZ15_R (06-30-00),Maahad Baneen-Hyper,1,P_B_8_SZ15_R_shape,
P_B_8_SZ15,Ground_Daily,P_B_8_SZ15_O (15-00-00),Hyper-Maahad Baneen,0,P_B_8_SZ15_O_shape,
P_B_8_SZ15,Ground_Daily,P_B_8_SZ15_O (06-30-00),Hyper-Maahad Baneen,0,P_B_8_SZ15_O_shape,
P_O_14_IC188,Ground_Daily,P_O_14_IC188_O (15-00-00),Awwal Makram Ebeid-Ramses,0,P_O_14_IC188_O_shape,
P_O_14_IC188,Ground_Daily,P_O_14_IC188_O (06-30-00),Awwal Makram Ebeid-Ramses,0,P_O_14_IC188_O_shape,
CTA_1043,Ground_Daily,CTA_1043_O (15-00-00),Imbaba-Kan Kan,0,CTA_1043_O_shape,
CTA_1043,Ground_Daily,CTA_1043_O (06-30-00),Imbaba-Kan Kan,0,CTA_1043_O_shape,
CTA_1043,Ground_Daily,CTA_1043_R (15-00-00),Kan Kan-Imbaba,1,CTA_1043_R_shape,
CTA_1043,Ground_Daily,CTA_1043_R (06-30-00),Kan Kan-Imbaba,1,CTA_1043_R_shape,
P_B_8_6O30,Ground_Daily,P_B_8_6O30_O (15-00-00),Laylat Al Qadr-District 6,0,P_B_8_6O30_O_shape,
P_B_8_6O30,Ground_Daily,P_B_8_6O30_O (06-30-00),Laylat Al Qadr-District 6,0,P_B_8_6O30_O_shape,
P_B_8_6O31,Ground_Daily,P_B_8_6O31_O (15-00-00),Laylat Al Qadr-Motamayez,1,P_B_8_6O31_O_shape,
P_B_8_6O31,Ground_Daily,P_B_8_6O31_O (06-30-00),Laylat Al Qadr-Motamayez,1,P_B_8_6O31_O_shape,
P_O_14_IC187,Ground_Daily,P_O_14_IC187_R (15-00-00),Mashaal Qarya Zakeya-Mehwar Desert Rd,1,P_O_14_IC187_R_shape,
P_O_14_IC187,Ground_Daily,P_O_14_IC187_R (06-30-00),Mashaal Qarya Zakeya-Mehwar Desert Rd,1,P_O_14_IC187_R_shape,
P_O_14_IC187,Ground_Daily,P_O_14_IC187_O (15-00-00),Mehwar Desert Rd-Mashaal Qarya Zakeya,0,P_O_14_IC187_O_shape,
P_O_14_IC187,Ground_Daily,P_O_14_IC187_O (06-30-00),Mehwar Desert Rd-Mashaal Qarya Zakeya,0,P_O_14_IC187_O_shape,
P_B_8_SZ14,Ground_Daily,P_B_8_SZ14_O (15-00-00),District 11 Entrance-Hyper,0,P_B_8_SZ14_O_shape,
P_B_8_SZ14,Ground_Daily,P_B_8_SZ14_O (06-30-00),District 11 Entrance-Hyper,0,P_B_8_SZ14_O_shape,
P_B_8_SZ11,Ground_Daily,P_B_8_SZ11_O (15-00-00),District 16-Sheikh Zayed General Hospital,0,P_B_8_SZ11_O_shape,
P_B_8_SZ11,Ground_Daily,P_B_8_SZ11_O (06-30-00),District 16-Sheikh Zayed General Hospital,0,P_B_8_SZ11_O_shape,
P_B_8_6O29,Ground_Daily,P_B_8_6O29_O (15-00-00),District 10-El Hossary,0,P_B_8_6O29_O_shape,
P_B_8_6O29,Ground_Daily,P_B_8_6O29_O (06-30-00),District 10-El Hossary,0,P_B_8_6O29_O_shape,
BOX_6O27,Ground_Daily,BOX_6O27_R (15-00-00),District 10-District 6,1,BOX_6O27_R_shape,
BOX_6O27,Ground_Daily,BOX_6O27_R (06-30-00),District 10-District 6,1,BOX_6O27_R_shape,
P_B_8_6O28,Ground_Daily,P_B_8_6O28_R (15-00-00),District 6-El Hossary,1,P_B_8_6O28_R_shape,
P_B_8_6O28,Ground_Daily,P_B_8_6O28_R (06-30-00),District 6-El Hossary,1,P_B_8_6O28_R_shape,
P_B_8_6O28,Ground_Daily,P_B_8_6O28_O (15-00-00),El Hossary-District 6,0,P_B_8_6O28_O_shape,
P_B_8_6O28,Ground_Daily,P_B_8_6O28_O (06-30-00),El Hossary-District 6,0,P_B_8_6O28_O_shape,
P_O_14_IC37,Ground_Daily,P_O_14_IC37_R (15-00-00),District 6-Al Moassasa,1,P_O_14_IC37_R_shape,
P_O_14_IC37,Ground_Daily,P_O_14_IC37_R (06-30-00),District 6-Al Moassasa,1,P_O_14_IC37_R_shape,
BOX_6O27,Ground_Daily,BOX_6O27_O (15-00-00),District 6-District 10,0,BOX_6O27_O_shape,
BOX_6O27,Ground_Daily,BOX_6O27_O (06-30-00),District 6-District 10,0,BOX_6O27_O_shape,
CTA_M_321,Ground_Daily,CTA_M_321_O (15-00-00),First Settlement-Al Al Mazallat,0,CTA_M_321_O_shape,
CTA_M_321,Ground_Daily,CTA_M_321_O (06-30-00),First Settlement-Al Al Mazallat,0,CTA_M_321_O_shape,
CTA_M_304,Ground_Daily,CTA_M_304_O (15-00-00),First Settlement-Al Al Mazallat,0,CTA_M_304_O_shape,
CTA_M_304,Ground_Daily,CTA_M_304_O (06-30-00),First Settlement-Al Al Mazallat,0,CTA_M_304_O_shape,
CTA_M_142,Ground_Daily,CTA_M_142_O (15-00-00),First Settlement-Al Al Mazallat,0,CTA_M_142_O_shape,
CTA_M_142,Ground_Daily,CTA_M_142_O (06-30-00),First Settlement-Al Al Mazallat,0,CTA_M_142_O_shape,
CTA_M_321,Ground_Daily,CTA_M_321_R (15-00-00),Al Al Mazallat-First Settlement,1,CTA_M_321_R_shape,
CTA_M_321,Ground_Daily,CTA_M_321_R (06-30-00),Al Al Mazallat-First Settlement,1,CTA_M_321_R_shape,
CTA_M_304,Ground_Daily,CTA_M_304_R (15-00-00),Al Al Mazallat-First Settlement,1,CTA_M_304_R_shape,
CTA_M_304,Ground_Daily,CTA_M_304_R (06-30-00),Al Al Mazallat-First Settlement,1,CTA_M_304_R_shape,
CTA_M_142,Ground_Daily,CTA_M_142_R (15-00-00),Al Al Mazallat-First Settlement,1,CTA_M_142_R_shape,
CTA_M_142,Ground_Daily,CTA_M_142_R (06-30-00),Al Al Mazallat-First Settlement,1,CTA_M_142_R_shape,
